Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,Packaging,Series,Part Status,Core Processor,Core Size,Speed,Connectivity,Peripherals,Number of I/O,Program Memory Size,Program Memory Type,EEPROM Size,RAM Size,Voltage - Supply (Vcc/Vdd),Data Converters,Oscillator Type,Operating Temperature,Mounting Type,Package / Case,Supplier Device Package
PIC18LF27K42-E/SP-ND,PIC18LF27K42-E/SP,Microchip Technology,IC MCU 8BIT 128KB FLASH 28SDIP,661,0,2.44,0,1,Tube,PIC® XLP™ 18K,Active,PIC,8-Bit,64MHz,"I²C, LINbus, SPI, UART/USART","Brown-out Detect/Reset, DMA, HLVD, POR, PWM, WDT",25,128KB (64K x 16),FLASH,1K x 8,8K x 8,1.8V ~ 3.6V,A/D 24x12b; D/A 1x5b,Internal,-40°C ~ 125°C (TA),Through Hole,"28-DIP (0.300"", 7.62mm)",40-PDIP
PIC18LF27K42-I/SP-ND,PIC18LF27K42-I/SP,Microchip Technology,IC MCU 8BIT 128KB FLASH 28SDIP,685,0,2.25,0,1,Tube,PIC® XLP™ 18K,Active,PIC,8-Bit,64MHz,"I²C, LINbus, SPI, UART/USART","Brown-out Detect/Reset, DMA, HLVD, POR, PWM, WDT",25,128KB (64K x 16),FLASH,1K x 8,8K x 8,1.8V ~ 3.6V,A/D 24x12b; D/A 1x5b,Internal,-40°C ~ 85°C (TA),Through Hole,"28-DIP (0.300"", 7.62mm)",28-SPDIP
PIC18LF26K83-E/SP-ND,PIC18LF26K83-E/SP,Microchip Technology,IC MCU 8BIT 64KB FLASH 28SDIP,622,0,2.66,0,1,Tube,PIC® XLP™ 18K,Active,PIC,8-Bit,64MHz,"CANbus, I²C, LINbus, SPI, UART/USART","Brown-out Detect/Reset, DMA, POR, PWM, WDT",25,64KB (32K x 16),FLASH,1K x 8,4K x 8,1.8V ~ 3.6V,A/D 24x12b; D/A 1x5b,Internal,-40°C ~ 125°C (TA),Through Hole,"28-DIP (0.300"", 7.62mm)",28-SPDIP
PIC18LF26K83-I/SP-ND,PIC18LF26K83-I/SP,Microchip Technology,IC MCU 8BIT 64KB FLASH 28SDIP,658,0,2.44,0,1,Tube,PIC® XLP™ 18K,Active,PIC,8-Bit,64MHz,"CANbus, I²C, LINbus, SPI, UART/USART","Brown-out Detect/Reset, DMA, POR, PWM, WDT",25,64KB (32K x 16),FLASH,1K x 8,4K x 8,1.8V ~ 3.6V,A/D 24x12b; D/A 1x5b,Internal,-40°C ~ 85°C (TA),Through Hole,"28-DIP (0.300"", 7.62mm)",18-PDIP
PIC18LF26K42-E/SP-ND,PIC18LF26K42-E/SP,Microchip Technology,IC MCU 8BIT 64KB FLASH 28SDIP,739,0,2.22,0,1,Tube,PIC® XLP™ 18K,Active,PIC,8-Bit,64MHz,"I²C, LINbus, SPI, UART/USART","Brown-out Detect/Reset, DMA, HLVD, POR, PWM, WDT",25,64KB (32K x 16),FLASH,1K x 8,4K x 8,1.8V ~ 3.6V,A/D 24x12b; D/A 1x5b,Internal,-40°C ~ 125°C (TA),Through Hole,"28-DIP (0.300"", 7.62mm)",40-PDIP
PIC18LF26K42-I/SP-ND,PIC18LF26K42-I/SP,Microchip Technology,IC MCU 8BIT 64KB FLASH 28SDIP,506,0,2.05,0,1,Tube,PIC® XLP™ 18K,Active,PIC,8-Bit,64MHz,"I²C, LINbus, SPI, UART/USART","Brown-out Detect/Reset, DMA, HLVD, POR, PWM, WDT",25,64KB (32K x 16),FLASH,1K x 8,4K x 8,1.8V ~ 3.6V,A/D 24x12b; D/A 1x5b,Internal,-40°C ~ 85°C (TA),Through Hole,"28-DIP (0.300"", 7.62mm)",28-SPDIP
PIC18LF25K83-E/SP-ND,PIC18LF25K83-E/SP,Microchip Technology,IC MCU 8BIT 32KB FLASH 28SDIP,660,0,2.51,0,1,Tube,PIC® XLP™ 18K,Active,PIC,8-Bit,64MHz,"CANbus, I²C, LINbus, SPI, UART/USART","Brown-out Detect/Reset, DMA, POR, PWM, WDT",25,32KB (16K x 16),FLASH,1K x 8,2K x 8,1.8V ~ 3.6V,A/D 24x12b; D/A 1x5b,Internal,-40°C ~ 125°C (TA),Through Hole,"28-DIP (0.300"", 7.62mm)",40-PDIP
PIC18LF25K83-I/SP-ND,PIC18LF25K83-I/SP,Microchip Technology,IC MCU 8BIT 32KB FLASH 28SDIP,720,0,2.31,0,1,Tube,PIC® XLP™ 18K,Active,PIC,8-Bit,64MHz,"CANbus, I²C, LINbus, SPI, UART/USART","Brown-out Detect/Reset, DMA, POR, PWM, WDT",25,32KB (16K x 16),FLASH,1K x 8,2K x 8,1.8V ~ 3.6V,A/D 24x12b; D/A 1x5b,Internal,-40°C ~ 85°C (TA),Through Hole,"28-DIP (0.300"", 7.62mm)",28-SPDIP
PIC18LF25K50-E/SP-ND,PIC18LF25K50-E/SP,Microchip Technology,IC MCU 8BIT 32KB FLASH 28SDIP,0,0,2.48232,0,285,Tube,PIC® XLP™ 18K,Active,PIC,8-Bit,48MHz,"I²C, SPI, UART/USART, USB","Brown-out Detect/Reset, POR, PWM, WDT",25,32KB (16K x 16),FLASH,256 x 8,2K x 8,1.8V ~ 3.6V,A/D 14x10b,Internal,-40°C ~ 125°C (TA),Through Hole,"28-DIP (0.300"", 7.62mm)",40-PDIP
PIC18LF25K50-I/SP-ND,PIC18LF25K50-I/SP,Microchip Technology,IC MCU 8BIT 32KB FLASH 28SDIP,0,0,2.2763,0,300,Tube,PIC® XLP™ 18K,Active,PIC,8-Bit,48MHz,"I²C, SPI, UART/USART, USB","Brown-out Detect/Reset, POR, PWM, WDT",25,32KB (16K x 16),FLASH,256 x 8,2K x 8,1.8V ~ 3.6V,A/D 14x10b,Internal,-40°C ~ 85°C (TA),Through Hole,"28-DIP (0.300"", 7.62mm)",28-SPDIP
